/home/zzydty/minigrid-a2c-ppo-dqn/scripts/train.py --env MiniGrid-10FourDoor-v0 --algo dqn --model dqn-4 --frames 1000000 --procs 16 --batch-size 300 --max-memory 2500 --seed 4 --update-interval 20

Namespace(algo='dqn', batch_size=300, clip_eps=0.2, discount=0.99, entropy_coef=0.01, env='MiniGrid-10FourDoor-v0', episodes=10000000, epochs=4, frames=1000000, frames_per_proc=None, gae_lambda=0.95, log_interval=1, lr=0.001, max_grad_norm=0.5, max_memory=2500, mem=False, model='dqn-4', optim_alpha=0.99, optim_eps=1e-08, procs=16, recurrence=1, save_interval=100, seed=4, text=False, update_interval=20, value_loss_coef=0.5)

Device: cpu

Environments loaded

Training status loaded

Observations preprocessor loaded
Model loaded

QModel(
  (conv1): Conv2d(3, 16, kernel_size=(2, 2), stride=(1, 1))
  (conv2): Conv2d(16, 32, kernel_size=(2, 2), stride=(1, 1))
  (conv3): Conv2d(32, 64, kernel_size=(2, 2), stride=(1, 1))
  (image_conv): Sequential(
    (0): Conv2d(3, 16, kernel_size=(2, 2), stride=(1, 1))
    (1): ReLU()
    (2): MaxPool2d(kernel_size=(2, 2), stride=(2, 2), padding=0, dilation=1, ceil_mode=False)
    (3): Conv2d(16, 32, kernel_size=(2, 2), stride=(1, 1))
    (4): ReLU()
    (5): Conv2d(32, 64, kernel_size=(2, 2), stride=(1, 1))
    (6): ReLU()
  )
  (head): Sequential(
    (0): Linear(in_features=256, out_features=64, bias=True)
    (1): Tanh()
    (2): Linear(in_features=64, out_features=5, bias=True)
  )
)

Optimizer loaded

U 1 | E 1 | F 000324 | FPS 2950 | D 0 | rR:μσmM 0.03 0.25 0.00 2.00 | pL 0.059
U 2 | E 2 | F 000636 | FPS 3171 | D 0 | rR:μσmM 0.05 0.60 0.00 10.00 | pL 0.670
U 3 | E 3 | F 000960 | FPS 3173 | D 0 | rR:μσmM 0.04 0.27 0.00 2.00 | pL 0.109
U 4 | E 4 | F 001284 | FPS 3002 | D 0 | rR:μσmM 0.02 0.19 0.00 2.00 | pL 0.021
U 5 | E 5 | F 001608 | FPS 3029 | D 0 | rR:μσmM 0.01 0.16 0.00 2.00 | pL 0.025
U 6 | E 6 | F 001932 | FPS 3059 | D 0 | rR:μσmM 0.03 0.25 0.00 2.00 | pL 0.037
U 7 | E 7 | F 002256 | FPS 3200 | D 0 | rR:μσmM 0.02 0.19 0.00 2.00 | pL 0.023
U 8 | E 8 | F 002580 | FPS 3104 | D 0 | rR:μσmM 0.02 0.22 0.00 2.00 | pL 0.023
U 9 | E 9 | F 002904 | FPS 3037 | D 0 | rR:μσmM 0.03 0.25 0.00 2.00 | pL 0.000
U 10 | E 10 | F 003228 | FPS 3132 | D 1 | rR:μσmM 0.02 0.19 0.00 2.00 | pL 0.020
U 11 | E 11 | F 003458 | FPS 3117 | D 1 | rR:μσmM 0.07 0.69 0.00 10.00 | pL 0.020
U 12 | E 12 | F 003669 | FPS 3056 | D 1 | rR:μσmM 0.07 0.71 0.00 10.00 | pL 0.025
U 13 | E 13 | F 003993 | FPS 3126 | D 1 | rR:μσmM 0.01 0.11 0.00 2.00 | pL 0.001
U 14 | E 14 | F 004317 | FPS 3174 | D 1 | rR:μσmM 0.02 0.22 0.00 2.00 | pL 0.000
U 15 | E 15 | F 004641 | FPS 2965 | D 1 | rR:μσmM 0.02 0.19 0.00 2.00 | pL 0.010
U 16 | E 16 | F 004768 | FPS 2555 | D 1 | rR:μσmM 0.11 0.92 0.00 10.00 | pL 0.015
U 17 | E 17 | F 005036 | FPS 2789 | D 1 | rR:μσmM 0.07 0.65 0.00 10.00 | pL 0.015
U 18 | E 18 | F 005360 | FPS 2939 | D 1 | rR:μσmM 0.02 0.22 0.00 2.00 | pL 0.020
U 19 | E 19 | F 005684 | FPS 2942 | D 1 | rR:μσmM 0.04 0.27 0.00 2.00 | pL 0.010
U 20 | E 20 | F 006008 | FPS 2883 | D 1 | rR:μσmM 0.04 0.27 0.00 2.00 | pL 0.057
U 21 | E 21 | F 006332 | FPS 2934 | D 2 | rR:μσmM 0.02 0.19 0.00 2.00 | pL 0.033
U 22 | E 22 | F 006656 | FPS 2873 | D 2 | rR:μσmM 0.03 0.25 0.00 2.00 | pL 0.027
U 23 | E 23 | F 006777 | FPS 2509 | D 2 | rR:μσmM 0.12 0.94 0.00 10.00 | pL 0.006
U 24 | E 24 | F 007101 | FPS 2932 | D 2 | rR:μσmM 0.01 0.16 0.00 2.00 | pL 0.026
U 25 | E 25 | F 007425 | FPS 2969 | D 2 | rR:μσmM 0.04 0.27 0.00 2.00 | pL 0.062
U 26 | E 26 | F 007749 | FPS 2796 | D 2 | rR:μσmM 0.02 0.19 0.00 2.00 | pL 0.010
U 27 | E 27 | F 008073 | FPS 2872 | D 2 | rR:μσmM 0.02 0.19 0.00 2.00 | pL 0.020
U 28 | E 28 | F 008228 | FPS 2730 | D 2 | rR:μσmM 0.09 0.83 0.00 10.00 | pL 0.020
U 29 | E 29 | F 008552 | FPS 2886 | D 2 | rR:μσmM 0.02 0.22 0.00 2.00 | pL 0.010
U 30 | E 30 | F 008876 | FPS 2944 | D 3 | rR:μσmM 0.02 0.19 0.00 2.00 | pL 0.029
U 31 | E 31 | F 009200 | FPS 2827 | D 3 | rR:μσmM 0.02 0.19 0.00 2.00 | pL 0.005
U 32 | E 32 | F 009524 | FPS 2985 | D 3 | rR:μσmM 0.01 0.16 0.00 2.00 | pL 0.015
U 33 | E 33 | F 009784 | FPS 3069 | D 3 | rR:μσmM 0.06 0.65 0.00 10.00 | pL 0.015
U 34 | E 34 | F 010108 | FPS 2820 | D 3 | rR:μσmM 0.01 0.16 0.00 2.00 | pL 0.015
U 35 | E 35 | F 010432 | FPS 2825 | D 3 | rR:μσmM 0.01 0.11 0.00 2.00 | pL 0.019
U 36 | E 36 | F 010719 | FPS 2771 | D 3 | rR:μσmM 0.06 0.62 0.00 10.00 | pL 0.015
U 37 | E 37 | F 011043 | FPS 3021 | D 3 | rR:μσmM 0.02 0.19 0.00 2.00 | pL 0.078
U 38 | E 38 | F 011367 | FPS 2955 | D 3 | rR:μσmM 0.03 0.25 0.00 2.00 | pL 0.010
U 39 | E 39 | F 011691 | FPS 2701 | D 3 | rR:μσmM 0.02 0.22 0.00 2.00 | pL 0.010
U 40 | E 40 | F 012015 | FPS 2855 | D 4 | rR:μσmM 0.01 0.11 0.00 2.00 | pL 0.025
U 41 | E 41 | F 012339 | FPS 2887 | D 4 | rR:μσmM 0.02 0.19 0.00 2.00 | pL 0.011
U 42 | E 42 | F 012663 | FPS 2851 | D 4 | rR:μσmM 0.01 0.16 0.00 2.00 | pL 0.006
U 43 | E 43 | F 012987 | FPS 2922 | D 4 | rR:μσmM 0.03 0.25 0.00 2.00 | pL 0.015
U 44 | E 44 | F 013311 | FPS 2832 | D 4 | rR:μσmM 0.02 0.22 0.00 2.00 | pL 0.030
U 45 | E 45 | F 013635 | FPS 2947 | D 4 | rR:μσmM 0.03 0.25 0.00 2.00 | pL 0.001
U 46 | E 46 | F 013959 | FPS 2942 | D 4 | rR:μσmM 0.01 0.11 0.00 2.00 | pL 0.015
