/home/zzydty/minigrid-a2c-ppo-dqn/scripts/train.py --model dqn-image_only-3 --env MiniGrid-FourDoor-v0 --frames 1000000 --batch-size 300 --max-memory 1500 --seed 3

Namespace(algo='dqn', batch_size=300, clip_eps=0.2, discount=0.99, entropy_coef=0.01, env='MiniGrid-FourDoor-v0', episodes=10000000, epochs=4, frames=1000000, frames_per_proc=None, gae_lambda=0.95, log_interval=1, lr=0.001, max_grad_norm=0.5, max_memory=1500, mem=False, model='dqn-image_only-3', optim_alpha=0.99, optim_eps=1e-08, procs=1, recurrence=1, save_interval=100, seed=3, text=False, update_interval=10, value_loss_coef=0.5)

Device: cpu

Environments loaded

Training status loaded

Observations preprocessor loaded
Model loaded

QModel(
  (conv1): Conv2d(3, 16, kernel_size=(2, 2), stride=(1, 1))
  (conv2): Conv2d(16, 32, kernel_size=(2, 2), stride=(1, 1))
  (conv3): Conv2d(32, 64, kernel_size=(2, 2), stride=(1, 1))
  (image_conv): Sequential(
    (0): Conv2d(3, 16, kernel_size=(2, 2), stride=(1, 1))
    (1): ReLU()
    (2): MaxPool2d(kernel_size=(2, 2), stride=(2, 2), padding=0, dilation=1, ceil_mode=False)
    (3): Conv2d(16, 32, kernel_size=(2, 2), stride=(1, 1))
    (4): ReLU()
    (5): Conv2d(32, 64, kernel_size=(2, 2), stride=(1, 1))
    (6): ReLU()
  )
  (head): Sequential(
    (0): Linear(in_features=64, out_features=64, bias=True)
    (1): Tanh()
    (2): Linear(in_features=64, out_features=5, bias=True)
  )
)

Optimizer loaded

U 1 | E 1 | F 000324 | FPS 4464 | D 0 | rR:μσmM 0.02 0.19 0.00 2.00 | pL 0.036
U 2 | E 2 | F 000648 | FPS 4661 | D 0 | rR:μσmM 0.02 0.19 0.00 2.00 | pL 0.073
U 3 | E 3 | F 000972 | FPS 4469 | D 0 | rR:μσmM 0.01 0.11 0.00 2.00 | pL 0.026
U 4 | E 4 | F 001296 | FPS 4354 | D 0 | rR:μσmM 0.02 0.19 0.00 2.00 | pL 0.014
U 5 | E 5 | F 001481 | FPS 4338 | D 0 | rR:μσmM 5.44 73.32 0.00 1000.00 | pL 0.022
U 6 | E 6 | F 001616 | FPS 3473 | D 0 | rR:μσmM 7.45 85.74 0.00 1000.00 | pL 0.015
U 7 | E 7 | F 001940 | FPS 4309 | D 0 | rR:μσmM 0.01 0.11 0.00 2.00 | pL 0.015
U 8 | E 8 | F 002141 | FPS 4495 | D 0 | rR:μσmM 5.00 70.36 0.00 1000.00 | pL 0.015
U 9 | E 9 | F 002451 | FPS 4700 | D 0 | rR:μσmM 3.25 56.70 0.00 1000.00 | pL 3.352
U 10 | E 10 | F 002775 | FPS 4469 | D 0 | rR:μσmM 0.03 0.25 0.00 2.00 | pL 3.347
U 11 | E 11 | F 003099 | FPS 4612 | D 0 | rR:μσmM 0.04 0.27 0.00 2.00 | pL 0.010
U 12 | E 12 | F 003423 | FPS 4536 | D 0 | rR:μσmM 0.04 0.27 0.00 2.00 | pL 3.372
U 13 | E 13 | F 003747 | FPS 4371 | D 0 | rR:μσmM 0.02 0.19 0.00 2.00 | pL 0.021
U 14 | E 14 | F 004071 | FPS 4447 | D 0 | rR:μσmM 0.02 0.19 0.00 2.00 | pL 0.020
U 15 | E 15 | F 004395 | FPS 4701 | D 0 | rR:μσmM 0.02 0.19 0.00 2.00 | pL 0.010
U 16 | E 16 | F 004719 | FPS 4643 | D 1 | rR:μσmM 0.01 0.16 0.00 2.00 | pL 0.025
U 17 | E 17 | F 004996 | FPS 4374 | D 1 | rR:μσmM 3.63 59.97 0.00 1000.00 | pL 3.347
U 18 | E 18 | F 005320 | FPS 4505 | D 1 | rR:μσmM 0.02 0.19 0.00 2.00 | pL 3.342
U 19 | E 19 | F 005644 | FPS 4521 | D 1 | rR:μσmM 0.03 0.25 0.00 2.00 | pL 0.015
U 20 | E 20 | F 005954 | FPS 4498 | D 1 | rR:μσmM 3.25 56.70 0.00 1000.00 | pL 3.352
U 21 | E 21 | F 006278 | FPS 4490 | D 1 | rR:μσmM 0.02 0.22 0.00 2.00 | pL 0.020
U 22 | E 22 | F 006602 | FPS 4552 | D 1 | rR:μσmM 0.02 0.19 0.00 2.00 | pL 3.361
U 23 | E 23 | F 006926 | FPS 4354 | D 1 | rR:μσmM 0.02 0.19 0.00 2.00 | pL 3.347
U 24 | E 24 | F 007250 | FPS 4248 | D 1 | rR:μσmM 0.02 0.19 0.00 2.00 | pL 0.010
U 25 | E 25 | F 007574 | FPS 4232 | D 1 | rR:μσmM 0.04 0.27 0.00 2.00 | pL 0.024
U 26 | E 26 | F 007898 | FPS 4189 | D 1 | rR:μσmM 0.01 0.16 0.00 2.00 | pL 0.029
U 27 | E 27 | F 008222 | FPS 4217 | D 1 | rR:μσmM 0.03 0.25 0.00 2.00 | pL 0.020
U 28 | E 28 | F 008546 | FPS 4243 | D 1 | rR:μσmM 0.03 0.25 0.00 2.00 | pL 0.010
U 29 | E 29 | F 008865 | FPS 4065 | D 2 | rR:μσmM 3.15 55.90 0.00 1000.00 | pL 0.020
U 30 | E 30 | F 009189 | FPS 4372 | D 2 | rR:μσmM 0.02 0.22 0.00 2.00 | pL 3.347
U 31 | E 31 | F 009498 | FPS 4309 | D 2 | rR:μσmM 3.27 56.79 0.00 1000.00 | pL 0.039
U 32 | E 32 | F 009822 | FPS 4268 | D 2 | rR:μσmM 0.02 0.19 0.00 2.00 | pL 0.010
U 33 | E 33 | F 010146 | FPS 4517 | D 2 | rR:μσmM 0.02 0.19 0.00 2.00 | pL 3.351
U 34 | E 34 | F 010470 | FPS 4282 | D 2 | rR:μσmM 0.02 0.22 0.00 2.00 | pL 0.038
U 35 | E 35 | F 010794 | FPS 4201 | D 2 | rR:μσmM 0.01 0.16 0.00 2.00 | pL 0.006
U 36 | E 36 | F 011118 | FPS 4029 | D 2 | rR:μσmM 0.02 0.22 0.00 2.00 | pL 0.031
U 37 | E 37 | F 011442 | FPS 4259 | D 2 | rR:μσmM 0.04 0.27 0.00 2.00 | pL 0.020
U 38 | E 38 | F 011766 | FPS 4080 | D 2 | rR:μσmM 0.03 0.25 0.00 2.00 | pL 0.025
U 39 | E 39 | F 012090 | FPS 3955 | D 2 | rR:μσmM 0.03 0.25 0.00 2.00 | pL 0.029
U 40 | E 40 | F 012414 | FPS 4114 | D 2 | rR:μσmM 0.02 0.22 0.00 2.00 | pL 0.028
U 41 | E 41 | F 012738 | FPS 4285 | D 2 | rR:μσmM 0.02 0.19 0.00 2.00 | pL 0.022
U 42 | E 42 | F 012940 | FPS 4135 | D 3 | rR:μσmM 4.98 70.18 0.00 1000.00 | pL 0.024
U 43 | E 43 | F 013264 | FPS 4358 | D 3 | rR:μσmM 0.01 0.16 0.00 2.00 | pL 0.016
U 44 | E 44 | F 013588 | FPS 4231 | D 3 | rR:μσmM 0.01 0.11 0.00 2.00 | pL 0.021
U 45 | E 45 | F 013912 | FPS 4155 | D 3 | rR:μσmM 0.02 0.22 0.00 2.00 | pL 0.011
U 46 | E 46 | F 014236 | FPS 4055 | D 3 | rR:μσmM 0.03 0.25 0.00 2.00 | pL 0.006
U 47 | E 47 | F 014560 | FPS 4272 | D 3 | rR:μσmM 0.02 0.22 0.00 2.00 | pL 0.005
U 48 | E 48 | F 014714 | FPS 3985 | D 3 | rR:μσmM 6.57 80.31 0.00 1000.00 | pL 0.024
U 49 | E 49 | F 015038 | FPS 4274 | D 3 | rR:μσmM 0.02 0.19 0.00 2.00 | pL 0.015
U 50 | E 50 | F 015362 | FPS 4332 | D 3 | rR:μσmM 0.02 0.19 0.00 2.00 | pL 3.348
U 51 | E 51 | F 015654 | FPS 4244 | D 3 | rR:μσmM 3.45 58.42 0.00 1000.00 | pL 0.012
U 52 | E 52 | F 015978 | FPS 4494 | D 3 | rR:μσmM 0.01 0.16 0.00 2.00 | pL 3.338
U 53 | E 53 | F 016302 | FPS 4562 | D 3 | rR:μσmM 0.03 0.25 0.00 2.00 | pL 3.346
U 54 | E 54 | F 016626 | FPS 4282 | D 3 | rR:μσmM 0.02 0.22 0.00 2.00 | pL 0.010
U 55 | E 55 | F 016950 | FPS 4231 | D 3 | rR:μσmM 0.03 0.25 0.00 2.00 | pL 0.015
U 56 | E 56 | F 017274 | FPS 4204 | D 4 | rR:μσmM 0.02 0.19 0.00 2.00 | pL 0.010
U 57 | E 57 | F 017598 | FPS 4029 | D 4 | rR:μσmM 0.03 0.25 0.00 2.00 | pL 0.014
U 58 | E 58 | F 017922 | FPS 4411 | D 4 | rR:μσmM 0.02 0.22 0.00 2.00 | pL 0.014
U 59 | E 59 | F 018246 | FPS 4138 | D 4 | rR:μσmM 0.02 0.19 0.00 2.00 | pL 0.014
U 60 | E 60 | F 018570 | FPS 4217 | D 4 | rR:μσmM 0.02 0.22 0.00 2.00 | pL 0.044
U 61 | E 61 | F 018894 | FPS 4182 | D 4 | rR:μσmM 0.02 0.22 0.00 2.00 | pL 0.034
U 62 | E 62 | F 019218 | FPS 4131 | D 4 | rR:μσmM 0.03 0.25 0.00 2.00 | pL 0.021
U 63 | E 63 | F 019542 | FPS 4202 | D 4 | rR:μσmM 0.03 0.25 0.00 2.00 | pL 0.002
