/home/zzydty/minigrid-a2c-ppo-dqn/scripts/train.py --env MiniGrid-FourDoor-v0 --algo dqn --model dqn-partial_obs-5 --frames 1000000 --procs 1 --batch-size 300 --max-memory 1500 --seed 5 --update-interval 20

Namespace(algo='dqn', batch_size=300, clip_eps=0.2, discount=0.99, entropy_coef=0.01, env='MiniGrid-FourDoor-v0', episodes=10000000, epochs=4, frames=1000000, frames_per_proc=None, gae_lambda=0.95, log_interval=1, lr=0.001, max_grad_norm=0.5, max_memory=1500, mem=False, model='dqn-partial_obs-5', optim_alpha=0.99, optim_eps=1e-08, procs=1, recurrence=1, save_interval=100, seed=5, text=False, update_interval=20, value_loss_coef=0.5)

Device: cpu

Environments loaded

Training status loaded

Observations preprocessor loaded
Model loaded

QModel(
  (conv1): Conv2d(3, 16, kernel_size=(2, 2), stride=(1, 1))
  (conv2): Conv2d(16, 32, kernel_size=(2, 2), stride=(1, 1))
  (conv3): Conv2d(32, 64, kernel_size=(2, 2), stride=(1, 1))
  (image_conv): Sequential(
    (0): Conv2d(3, 16, kernel_size=(2, 2), stride=(1, 1))
    (1): ReLU()
    (2): MaxPool2d(kernel_size=(2, 2), stride=(2, 2), padding=0, dilation=1, ceil_mode=False)
    (3): Conv2d(16, 32, kernel_size=(2, 2), stride=(1, 1))
    (4): ReLU()
    (5): Conv2d(32, 64, kernel_size=(2, 2), stride=(1, 1))
    (6): ReLU()
  )
  (head): Sequential(
    (0): Linear(in_features=64, out_features=64, bias=True)
    (1): Tanh()
    (2): Linear(in_features=64, out_features=5, bias=True)
  )
)

Optimizer loaded

U 1 | E 1 | F 000324 | FPS 3769 | D 0 | rR:μσmM 0.02 0.19 0.00 2.00 | pL 0.036
U 2 | E 2 | F 000648 | FPS 3840 | D 0 | rR:μσmM 0.02 0.22 0.00 2.00 | pL 0.131
U 3 | E 3 | F 000972 | FPS 3994 | D 0 | rR:μσmM 0.01 0.16 0.00 2.00 | pL 0.021
U 4 | E 4 | F 001163 | FPS 3685 | D 0 | rR:μσmM 5.27 72.17 0.00 1000.00 | pL 3.352
U 5 | E 5 | F 001487 | FPS 3914 | D 0 | rR:μσmM 0.02 0.22 0.00 2.00 | pL 0.021
U 6 | E 6 | F 001811 | FPS 4184 | D 0 | rR:μσmM 0.02 0.19 0.00 2.00 | pL 0.020
U 7 | E 7 | F 002135 | FPS 4067 | D 0 | rR:μσmM 0.02 0.22 0.00 2.00 | pL 0.010
U 8 | E 8 | F 002459 | FPS 3944 | D 0 | rR:μσmM 0.02 0.19 0.00 2.00 | pL 3.351
U 9 | E 9 | F 002783 | FPS 3551 | D 0 | rR:μσmM 0.02 0.19 0.00 2.00 | pL 0.025
U 10 | E 10 | F 003107 | FPS 3821 | D 0 | rR:μσmM 0.02 0.22 0.00 2.00 | pL 0.015
U 11 | E 11 | F 003431 | FPS 3906 | D 0 | rR:μσmM 0.02 0.19 0.00 2.00 | pL 0.019
U 12 | E 12 | F 003755 | FPS 4075 | D 0 | rR:μσmM 0.03 0.25 0.00 2.00 | pL 0.015
U 13 | E 13 | F 004079 | FPS 3899 | D 1 | rR:μσmM 0.02 0.19 0.00 2.00 | pL 0.005
U 14 | E 14 | F 004403 | FPS 3998 | D 1 | rR:μσmM 0.02 0.19 0.00 2.00 | pL 0.000
U 15 | E 15 | F 004727 | FPS 3837 | D 1 | rR:μσmM 0.02 0.19 0.00 2.00 | pL 0.010
U 16 | E 16 | F 005051 | FPS 3965 | D 1 | rR:μσmM 0.01 0.11 0.00 2.00 | pL 0.023
U 17 | E 17 | F 005375 | FPS 3828 | D 1 | rR:μσmM 0.02 0.19 0.00 2.00 | pL 0.014
U 18 | E 18 | F 005699 | FPS 3785 | D 1 | rR:μσmM 0.02 0.19 0.00 2.00 | pL 0.005
U 19 | E 19 | F 006023 | FPS 3615 | D 1 | rR:μσmM 0.02 0.22 0.00 2.00 | pL 0.024
U 20 | E 20 | F 006301 | FPS 3590 | D 1 | rR:μσmM 3.62 59.87 0.00 1000.00 | pL 0.002
U 21 | E 21 | F 006625 | FPS 3236 | D 1 | rR:μσmM 0.02 0.19 0.00 2.00 | pL 0.015
U 22 | E 22 | F 006949 | FPS 3731 | D 1 | rR:μσmM 0.03 0.25 0.00 2.00 | pL 0.020
U 23 | E 23 | F 007273 | FPS 3512 | D 1 | rR:μσmM 0.02 0.19 0.00 2.00 | pL 0.015
U 24 | E 24 | F 007597 | FPS 3705 | D 2 | rR:μσmM 0.04 0.27 0.00 2.00 | pL 3.352
U 25 | E 25 | F 007921 | FPS 3840 | D 2 | rR:μσmM 0.02 0.19 0.00 2.00 | pL 0.019
U 26 | E 26 | F 008226 | FPS 3725 | D 2 | rR:μσmM 3.30 57.16 0.00 1000.00 | pL 0.005
U 27 | E 27 | F 008550 | FPS 3850 | D 2 | rR:μσmM 0.03 0.25 0.00 2.00 | pL 0.024
U 28 | E 28 | F 008774 | FPS 3468 | D 2 | rR:μσmM 4.49 66.66 0.00 1000.00 | pL 0.029
U 29 | E 29 | F 009098 | FPS 3715 | D 2 | rR:μσmM 0.03 0.25 0.00 2.00 | pL 3.348
U 30 | E 30 | F 009422 | FPS 3690 | D 2 | rR:μσmM 0.02 0.22 0.00 2.00 | pL 3.360
U 31 | E 31 | F 009606 | FPS 3284 | D 2 | rR:μσmM 5.47 73.52 0.00 1000.00 | pL 0.019
U 32 | E 32 | F 009835 | FPS 3556 | D 2 | rR:μσmM 4.39 65.94 0.00 1000.00 | pL 0.029
U 33 | E 33 | F 010159 | FPS 3600 | D 2 | rR:μσmM 0.02 0.19 0.00 2.00 | pL 3.346
U 34 | E 34 | F 010483 | FPS 3623 | D 2 | rR:μσmM 0.03 0.25 0.00 2.00 | pL 0.024
U 35 | E 35 | F 010807 | FPS 3448 | D 2 | rR:μσmM 0.03 0.25 0.00 2.00 | pL 3.355
U 36 | E 36 | F 011111 | FPS 3357 | D 2 | rR:μσmM 3.31 57.26 0.00 1000.00 | pL 0.014
U 37 | E 37 | F 011435 | FPS 3704 | D 3 | rR:μσmM 0.02 0.22 0.00 2.00 | pL 0.010
U 38 | E 38 | F 011559 | FPS 2927 | D 3 | rR:μσmM 8.10 89.44 0.00 1000.00 | pL 3.349
U 39 | E 39 | F 011751 | FPS 3674 | D 3 | rR:μσmM 5.24 71.98 0.00 1000.00 | pL 3.345
U 40 | E 40 | F 011905 | FPS 3258 | D 3 | rR:μσmM 6.53 80.32 0.00 1000.00 | pL 0.022
U 41 | E 41 | F 012229 | FPS 3677 | D 3 | rR:μσmM 0.04 0.27 0.00 2.00 | pL 3.353
U 42 | E 42 | F 012553 | FPS 3702 | D 3 | rR:μσmM 0.03 0.25 0.00 2.00 | pL 6.684
U 43 | E 43 | F 012877 | FPS 3694 | D 3 | rR:μσmM 0.02 0.22 0.00 2.00 | pL 0.025
U 44 | E 44 | F 013201 | FPS 3641 | D 3 | rR:μσmM 0.02 0.22 0.00 2.00 | pL 0.015
U 45 | E 45 | F 013525 | FPS 3647 | D 3 | rR:μσmM 0.04 0.27 0.00 2.00 | pL 0.016
U 46 | E 46 | F 013849 | FPS 3611 | D 3 | rR:μσmM 0.01 0.16 0.00 2.00 | pL 0.015
U 47 | E 47 | F 014100 | FPS 3798 | D 3 | rR:μσmM 4.01 62.99 0.00 1000.00 | pL 0.023
U 48 | E 48 | F 014305 | FPS 3564 | D 3 | rR:μσmM 4.92 69.67 0.00 1000.00 | pL 3.347
U 49 | E 49 | F 014629 | FPS 3471 | D 3 | rR:μσmM 0.02 0.19 0.00 2.00 | pL 0.017
U 50 | E 50 | F 014895 | FPS 3610 | D 4 | rR:μσmM 3.80 61.20 0.00 1000.00 | pL 0.021
U 51 | E 51 | F 015219 | FPS 3651 | D 4 | rR:μσmM 0.04 0.27 0.00 2.00 | pL 3.350
U 52 | E 52 | F 015543 | FPS 3681 | D 4 | rR:μσmM 0.03 0.25 0.00 2.00 | pL 3.355
U 53 | E 53 | F 015867 | FPS 3731 | D 4 | rR:μσmM 0.04 0.27 0.00 2.00 | pL 0.016
U 54 | E 54 | F 016191 | FPS 3890 | D 4 | rR:μσmM 0.04 0.27 0.00 2.00 | pL 0.028
U 55 | E 55 | F 016497 | FPS 3660 | D 4 | rR:μσmM 3.31 57.07 0.00 1000.00 | pL 0.033
U 56 | E 56 | F 016821 | FPS 3856 | D 4 | rR:μσmM 0.02 0.19 0.00 2.00 | pL 3.364
U 57 | E 57 | F 017145 | FPS 3659 | D 4 | rR:μσmM 0.02 0.22 0.00 2.00 | pL 0.015
U 58 | E 58 | F 017469 | FPS 3653 | D 4 | rR:μσmM 0.02 0.22 0.00 2.00 | pL 0.014
U 59 | E 59 | F 017793 | FPS 3463 | D 4 | rR:μσmM 0.03 0.25 0.00 2.00 | pL 0.024
U 60 | E 60 | F 018117 | FPS 3543 | D 4 | rR:μσmM 0.04 0.27 0.00 2.00 | pL 0.031
U 61 | E 61 | F 018435 | FPS 3784 | D 5 | rR:μσmM 3.18 55.99 0.00 1000.00 | pL 0.017
U 62 | E 62 | F 018759 | FPS 3691 | D 5 | rR:μσmM 0.03 0.25 0.00 2.00 | pL 3.360
U 63 | E 63 | F 018863 | FPS 3388 | D 5 | rR:μσmM 9.65 97.58 0.00 1000.00 | pL 3.374
U 64 | E 64 | F 019187 | FPS 3843 | D 5 | rR:μσmM 0.02 0.19 0.00 2.00 | pL 0.025
U 65 | E 65 | F 019511 | FPS 3656 | D 5 | rR:μσmM 0.02 0.19 0.00 2.00 | pL 0.042
U 66 | E 66 | F 019835 | FPS 3482 | D 5 | rR:μσmM 0.01 0.16 0.00 2.00 | pL 0.025
U 67 | E 67 | F 020131 | FPS 3670 | D 5 | rR:μσmM 3.42 58.02 0.00 1000.00 | pL 3.370
